,Fecha,TIPO GASTO,TC,TOTAL SAT
2,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
3,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
4,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,9807.07
5,2023-01-01,COMISION BANCARIA,1.0,568.4
6,2023-01-01,COMISION BANCARIA,1.0,0.0
7,2023-01-01,CAPACITACION,1.0,5213.21
8,2023-01-01,SEGUROS,1.0,1717.25
10,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
11,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
12,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
14,2023-01-01,NO DEDUCIBLE,1.0,2302.95
15,2023-01-01,COMISION BANCARIA,1.0,0.0
16,2023-01-01,PUBLICIDAD,1.0,0.0
17,2023-01-01,TELEFONO,1.0,3024.31
18,2023-01-01,MTTO COMPUTO,1.0,496.48
19,2023-01-01,COMISION MIXTA,1.0,5000.0
20,2023-01-01,COMISION MIXTA,1.0,22316.98
21,2023-01-01,COMISION BANCARIA,1.0,0.0
22,2023-01-01,COMISION BANCARIA,19.5089,0.0
23,2023-01-01,MTTO COMPUTO,1.0,2578.68
26,2023-01-01,HONORARIOS PM,1.0,2588.77
27,2023-01-01,UNIFORMES,1.0,125.07
28,2023-01-01,MONITOREO CAMARAS ADT,1.0,1684.32
29,2023-01-01,NO DEDUCIBLE,1.0,795.3
30,2023-01-01,NO DEDUCIBLE,1.0,349.0
33,2023-01-01,MONITOREO CAMARAS ADT,1.0,0.0
38,2023-01-01,MTTO COMPUTO,1.0,388.6
39,2023-01-01,MENSAJERIA,1.0,0.0
42,2023-01-01,NO DEDUCIBLE,1.0,1975.83
43,2023-01-01,NO DEDUCIBLE,1.0,2541.32
44,2023-01-01,TELEFONO,1.0,0.0
45,2023-01-01,MTTO COMPUTO,1.0,0.0
46,2023-01-01,HONORARIOS CONTABLES,1.0,5100.0
52,2023-01-01,PAQUETERIA,1.0,158.6
53,2023-01-01,MTTO COMPUTO,1.0,437.32
54,2023-01-01,ALIMENTOS,1.0,571.0
65,2023-01-01,MTTO TRANSPORTE,1.0,6650.0
69,2023-01-01,COMISION MIXTA,1.0,19920.13
70,2023-01-01,NO DEDUCIBLE,1.0,1667.75
73,2023-01-01,PAQUETERIA,1.0,527.35
77,2023-01-01,HONORARIOS PM,1.0,2310.74
80,2023-01-01,MTTO TRANSPORTE,1.0,6650.0
85,2023-01-01,VARIOS,1.0,1439.1
87,2023-01-01,GERENCIA ADMON,1.0,28600.0
91,2023-01-01,ALIMENTOS,1.0,220.0
92,2023-01-01,DERECHOS,1.0,948.0
93,2023-01-01,CAPACITACION,1.0,4350.0
95,2023-01-01,PAQUETERIA,1.0,0.0
96,2023-01-01,TELEFONO,1.0,0.0
98,2023-01-01,PAQUETERIA,1.0,0.0
99,2023-01-01,MENSAJERIA,1.0,403.47
100,2023-01-01,RENTA COPIADORA,1.0,2320.0
102,2023-01-01,MTTO COMPUTO,1.0,7335.84
103,2023-01-01,MTTO COMPUTO,1.0,1440.0
104,2023-01-01,ALIMENTOS,1.0,260.0
109,2023-01-01,SUSCRIPCIONES,1.0,1095.04
114,2023-01-01,COMISION MIXTA,1.0,19440.14
115,2023-01-01,GASOLINA,1.0,10348.0
118,2023-01-01,HONORARIOS PM,1.0,2255.06
121,2023-01-01,MTTO LOCAL,1.0,100.8
125,2023-01-01,CREDITO ,1.0,1961.11
128,2023-01-01,PAQUETERIA,1.0,2649.3
129,2023-01-01,MAQUINARIA,1.0,2965.08
131,2023-01-01,DERECHOS,1.0,3008.0
134,2023-01-01,PAPELERIA,1.0,324.8
138,2023-01-01,NO DEDUCIBLE,1.0,2142.0
139,2023-01-01,MENSAJERIA,1.0,287.56
141,2023-01-01,IMSS/INFONAVIT,1.0,38078.44
142,2023-01-01,GASOLINA,1.0,1414.08
149,2023-01-01,MTTO COMPUTO,1.0,3348.92
153,2023-01-01,MTTO LOCAL,1.0,625.51
